,Artist Name,Track Name,Popularity,danceability,energy,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
10429,Cream,Crossroads - Live,57.0,0.391,0.756,-11.317,1,0.0648,0.413,0.879,0.839,131.648,258467.0,4,2
10448,Son Little,Mad About You,61.0,0.599,0.377,-9.829,1,0.105,0.441,0.105,0.543,74.314,213137.0,4,2
10454,Paulo Mendonca,Mindcontrol,38.0,0.644,0.617,-7.139,1,0.0287,0.000203,0.0902,0.805,99.057,208212.0,4,2
10456,Black Rebel Motorcycle Club,Little Thing Gone Wild,38.0,0.546,0.836,-6.448,1,0.0375,0.000195,0.331,0.531,120.013,198710.0,4,2
10464,The Rolling Stones,Little By Little - Mono Version,33.0,0.482,0.719,-8.794,1,0.0558,0.0146,0.155,0.909,87.743,159707.0,4,2
10470,Johnny Winter,Roll With Me - Live,28.0,0.396,0.899,-13.453,0,0.0516,0.0063,0.986,0.626,146.407,288973.0,4,2
10502,Jeff Beck,Let Me Love You,24.0,0.527,0.611,-9.157,0,0.0588,0.251,0.298,0.686,95.107,283827.0,4,2
10510,Jontavious Willis,The Blues is Dead?,39.0,0.442,0.749,-4.692,1,0.229,0.562,0.323,0.774,208.634,184036.0,4,2
10516,Shemekia Copeland,Love Song,21.0,0.747,0.58,-5.763,1,0.0275,0.159,0.131,0.796,122.951,183857.0,3,2
10526,Kenny Neal,Blues Stew,22.0,0.684,0.556,-12.212,1,0.0429,0.0336,0.151,0.654,116.269,214707.0,4,2
10539,Kim Logan,Better Way,34.0,0.477,0.67,-6.162,1,0.0292,0.000183,0.135,0.323,106.105,244845.0,4,2
10560,Southern Avenue,What Did I Do,38.0,0.395,0.701,-4.128,1,0.0804,0.381,0.116,0.852,200.991,232600.0,4,2
10583,Aubrie Sellers,Just to Be with You,35.0,0.336,0.739,-5.394,0,0.0481,0.0325,0.137,0.578,169.932,203653.0,4,2
10586,Sturgill Simpson,Sugar Daddy - Theme from Vinyl,39.0,0.26,0.929,-5.841,1,0.143,0.343,0.139,0.358,81.971,225267.0,4,2
10608,Watermelon Slim,Get Out of My Life Woman,32.0,0.597,0.713,-8.087,0,0.0336,0.121,0.282,0.77,95.696,189718.0,4,2
10620,Muddy Waters,Rollin' Stone,52.0,0.629,0.0192,-19.952,1,0.0833,0.989,0.106,0.335,169.254,188160.0,4,2
10637,Eric Johnson,Texas,16.0,0.469,0.437,-11.948,0,0.0298,0.487,0.112,0.567,151.967,223067.0,4,2
10681,Son Of Dave,Daddy Was a Wolfman,14.0,0.658,0.733,-8.018,0,0.127,0.44,0.21,0.687,179.901,154401.0,4,2
10683,Matt Andersen,Quarter On The Ground ( A Song For Uncle Joe),45.0,0.69,0.21,-8.531,1,0.0718,0.763,0.325,0.49,68.851,216453.0,4,2
10714,Michael Burks,What Can A Man Do?,11.0,0.563,0.26,-10.837,1,0.0458,0.633,0.0888,0.115,116.912,316533.0,3,2
10728,Garrett Lebeau,Broke Down Dream,33.0,0.671,0.217,-11.186,1,0.0587,0.493,0.0974,0.411,117.815,360307.0,3,2
10734,Beth Hart,Bad Woman Blues,47.0,0.737,0.929,-3.374,0,0.0316,0.0562,0.0909,0.807,119.985,215911.0,4,2
10739,Robert Randolph & The Family Band,Gonna Be All Right,16.0,0.527,0.906,-4.741,1,0.0557,0.0796,0.103,0.686,80.921,263707.0,4,2
10744,ZZ Top,La Grange - 2005 Remaster,76.0,0.545,0.64,-9.937,0,0.224,0.00249,0.196,0.606,80.544,230480.0,4,2
10754,Vanja Sky,Do You Wanna - Live,26.0,0.296,0.924,-7.266,1,0.109,0.0152,0.927,0.597,150.393,215540.0,4,2
10764,Oli Brown,Open Road,36.0,0.628,0.576,-4.694,0,0.0565,0.212,0.315,0.693,92.01,227680.0,4,2
10772,Jared James Nichols,Threw Me To The Wolves,38.0,0.291,0.746,-5.459,0,0.0412,0.00192,0.168,0.429,177.503,232088.0,4,2
10776,Robert Petway,Catfish Blues,36.0,0.596,0.308,-17.814,1,0.0495,0.977,0.108,0.834,183.398,174472.0,4,2
10777,Priscilla Renea,Heavenly,24.0,0.535,0.257,-9.224,1,0.0317,0.608,0.108,0.105,143.943,212266.0,3,2
10800,Bones Owens,Tell Me,50.0,0.591,0.42,-6.986,1,0.0317,0.0146,0.101,0.52,129.918,197783.0,4,2
10813,Bobby Rush,Dust My Broom,45.0,0.721,0.458,-7.838,0,0.0619,0.758,0.155,0.526,111.501,215662.0,4,2
10823,Mike Zito,Judgment Day,36.0,0.493,0.716,-5.721,0,0.0283,0.0827,0.84,0.757,81.904,437358.0,4,2
10848,Adrián Otero,Me Gustas Mucho,23.0,0.728,0.626,-7.447,0,0.0371,0.0121,0.056,0.918,108.037,186826.0,4,2
10858,The Butler Twins,Hey Baby Don't You Know Your Daddy Loves You So,4.0,0.562,0.906,-3.789,1,0.053,0.542,0.855,0.781,120.784,430293.0,4,2
10861,Joan Armatrading,Into The Blues,35.0,0.775,0.554,-6.439,0,0.0381,0.0854,0.0533,0.513,120.068,263267.0,4,2
10863,The Gories,Thunderbird ESQ,25.0,0.629,0.736,-13.502,1,0.0808,0.375,0.0576,0.677,167.635,138240.0,4,2
10873,Koko Taylor,Money Is The Name Of The Game,19.0,0.38,0.539,-5.48,0,0.0284,0.505,0.107,0.53,133.069,408413.0,3,2
10883,Conor Gains,Light Shine In,34.0,0.64,0.675,-7.171,0,0.0606,0.0401,0.258,0.643,93.023,207253.0,4,2
10884,La Rata Bluesera,Extremaunción,23.0,0.598,0.567,-11.271,0,0.161,0.47,0.317,0.78,120.701,183130.0,4,2
10895,Jazz Gillum,Key To The Highway,1.0,0.547,0.18,-14.609,1,0.0505,0.977,0.131,0.544,130.038,178800.0,4,2
10907,Eric Gales,Carry Yourself,39.0,0.675,0.575,-4.896,0,0.0303,0.736,0.119,0.778,85.962,323427.0,4,2
10960,Dr. John,Mama Roux,42.0,0.84,0.393,-15.199,1,0.0405,0.557,0.102,0.809,128.234,180600.0,4,2
10978,Freddie King,I'm Tore Down,11.0,0.527,0.362,-12.265,0,0.0513,0.773,0.102,0.908,130.25,157933.0,4,2
10996,Jeff Beck,Blues Deluxe,17.0,0.464,0.604,-10.691,1,0.0484,0.539,0.849,0.457,133.484,450133.0,3,2
11001,MY BABY,Seeing Red,39.0,0.903,0.365,-10.653,0,0.101,0.168,0.0728,0.519,127.213,296533.0,4,2
11037,Earl Hooker,Two Bugs And A Roach,49.0,0.523,0.568,-12.584,1,0.0751,0.652,0.1,0.813,135.448,259760.0,4,2
11055,Jimmy Rogers,That's All Right - Single Version,35.0,0.508,0.248,-13.409,1,0.0348,0.642,0.291,0.497,74.283,170373.0,4,2
11067,Gary Clark Jr.,Shake,35.0,0.326,0.922,-3.04,1,0.0433,0.0091,0.164,0.753,192.907,197813.0,4,2
11068,Joe Bonamassa,Royal Tea,41.0,0.558,0.82,-4.377,0,0.0357,0.0146,0.136,0.549,121.448,268733.0,3,2
11071,Samantha Fish,Nearer to You,33.0,0.509,0.487,-7.478,0,0.0272,0.0641,0.0886,0.512,146.202,204000.0,3,2
11083,Albert Cummings,Up Your Sleeve - Live,28.0,0.314,0.756,-9.607,1,0.0646,0.00175,0.114,0.656,124.689,324441.0,4,2
11101,Slim Harpo,Shake Your Hips - Single Version,39.0,0.746,0.418,-13.563,1,0.0708,0.984,0.132,0.736,94.459,149800.0,4,2
11109,Clarence Edwards,Still a Fool,20.0,0.414,0.413,-10.809,1,0.104,0.628,0.635,0.375,208.16,253427.0,3,2
11116,The War and Treaty,Take Me In,41.0,0.433,0.242,-10.731,1,0.0322,0.353,0.118,0.163,139.958,227893.0,4,2
11118,Lou Ann Barton,Sugar Coated Love,35.0,0.629,0.471,-11.197,1,0.0304,0.314,0.0936,0.814,121.039,236027.0,4,2
11124,Fantastic Negrito,Searching for Captain Save a Hoe,38.0,0.724,0.56,-7.429,0,0.0375,0.085,0.153,0.373,74.984,225551.0,4,2
11125,Josh Morningstar,Sanitarium Lovesick Blues #4702,30.0,0.466,0.673,-6.373,1,0.106,0.305,0.322,0.82,202.836,169561.0,4,2
11224,Colter Wall,The Devil Wears a Suit and Tie,66.0,0.625,0.319,-12.119,0,0.0805,0.79,0.0921,0.438,127.799,236027.0,4,2
11233,Marquise Knox,Sweet Smell (Live),34.0,0.682,0.512,-8.003,1,0.0797,0.28,0.176,0.722,104.247,280573.0,4,2
11238,Courtney Marie Andrews,Border,24.0,0.542,0.387,-9.294,1,0.0301,0.222,0.102,0.326,128.792,235067.0,4,2
11242,Brownsville Station,Smokin' in the Boy's Room,48.0,0.575,0.756,-9.414,1,0.0544,0.735,0.0755,0.844,127.434,176453.0,4,2
11250,Myles Kennedy,In Stride,40.0,0.408,0.906,-4.594,1,0.106,0.00367,0.329,0.454,135.051,227200.0,4,2
11251,Tony Spinner,Sweet Thang,12.0,0.549,0.824,-5.896,1,0.0403,0.117,0.0467,0.778,170.016,291720.0,4,2
11253,Curtis Harding,Need Your Love,60.0,0.713,0.8,-5.938,0,0.0349,0.0491,0.0921,0.814,139.942,177200.0,4,2
11255,Fleetwood Mac,My Baby's Good to Me,28.0,0.51,0.683,-9.015,1,0.0383,0.19,0.311,0.963,121.018,169693.0,4,2
11262,Bernard Allison,Rocket 88 - Live,31.0,0.177,0.724,-9.536,1,0.0487,0.071,0.958,0.657,144.803,446207.0,4,2
11273,"Christone ""Kingfish"" Ingram",Believe These Blues,44.0,0.645,0.496,-7.178,0,0.0479,0.541,0.107,0.5,81.05,264812.0,4,2
11307,Jimmie Vaughan,The Pleasure's All Mine,30.0,0.738,0.695,-5.593,0,0.0599,0.118,0.174,0.774,116.681,223533.0,4,2
11312,King King,I Will Not Fall,39.0,0.619,0.779,-5.582,0,0.031,0.000758,0.165,0.516,109.052,209760.0,4,2
11347,Shemekia Copeland,Givin' Up You,13.0,0.771,0.825,-4.103,1,0.0828,0.232,0.099,0.821,94.038,206053.0,4,2
11359,Ariel Posen,Fade,30.0,0.719,0.591,-6.855,1,0.0294,0.122,0.18,0.573,89.011,250253.0,4,2
11368,Shemekia Copeland,I Always Get My Man,18.0,0.751,0.732,-6.825,0,0.0462,0.612,0.719,0.909,109.021,229973.0,4,2
11382,Jade Macrae,Handle Me with Care,37.0,0.516,0.401,-8.017,1,0.0284,0.388,0.0903,0.274,95.909,435427.0,3,2
11387,Joe Louis Walker,Shake For Me,10.0,0.757,0.645,-10.069,0,0.0803,0.498,0.469,0.893,121.091,410360.0,4,2
11393,Gary Clark Jr.,Pearl Cadillac (feat. Andra Day),45.0,0.376,0.509,-4.995,0,0.0357,0.489,0.115,0.259,119.47,210887.0,4,2
11414,Reigning Sound,When You Touch Me,15.0,0.195,0.91,-1.662,1,0.0411,1.03e-05,0.165,0.427,147.587,177200.0,4,2
11416,Selwyn Birchwood,Living In A Burning House,41.0,0.562,0.912,-3.838,0,0.061,0.0258,0.317,0.717,94.989,248252.0,4,2
11433,Eric Bibb,With My Maker I Am One,41.0,0.791,0.213,-11.154,0,0.0479,0.773,0.12,0.597,97.95,221120.0,4,2
11446,LaVern Baker,Love Me Right,39.0,0.523,0.482,-6.862,1,0.0447,0.703,0.179,0.785,146.057,114947.0,4,2
11460,Sugar Blue,Bad Boys Heaven,16.0,0.406,0.43,-7.702,1,0.0423,0.67,0.338,0.417,176.21,548440.0,3,2
11479,Faces,Borstal Boys,29.0,0.42,0.956,-6.475,1,0.0462,0.118,0.26,0.904,152.758,173027.0,4,2
11497,The King Khan & BBQ Show,Fishfight,29.0,0.408,0.98,-0.489,1,0.0456,0.807,0.287,0.674,150.405,170520.0,4,2
11502,Songhoy Blues,Sekou Oumarou,37.0,0.635,0.559,-11.315,1,0.0844,0.335,0.102,0.728,78.353,213653.0,4,2
11504,T. Rex,Born To Boogie,26.0,0.502,0.787,-7.767,1,0.0961,0.00964,0.153,0.801,160.131,124160.0,4,2
11516,Nancy Wilson,4 Edward,33.0,0.725,0.403,-9.113,1,0.0471,0.726,0.096,0.232,119.947,103078.0,4,2
11519,Trudy Lynn,Thru Chasin' You,11.0,0.807,0.585,-6.702,0,0.0375,0.56,0.0894,0.749,97.03,295627.0,4,2
11523,Danielle Nicole,Take It All,38.0,0.607,0.159,-12.223,1,0.0326,0.879,0.182,0.662,162.005,177907.0,3,2
11546,Skip James,Devil Got My Woman,43.0,0.508,0.151,-14.984,1,0.0324,0.986,0.172,0.523,85.128,181787.0,4,2
11548,Charley Patton,Down The Dirt Road Blues,39.0,0.473,0.281,-11.337,1,0.0354,0.97,0.11,0.523,119.161,174576.0,4,2
11558,Henrik Freischlader,Openness,37.0,0.454,0.891,-5.101,1,0.0621,0.00229,0.468,0.752,169.869,266466.0,4,2
11560,Jimi Hendrix,Mannish Boy,50.0,0.568,0.898,-8.833,0,0.0862,0.0285,0.484,0.833,110.824,301520.0,4,2
11581,The Dip,Sure Don't Miss You,62.0,0.664,0.586,-7.985,0,0.0283,0.334,0.16,0.727,102.991,174520.0,4,2
11591,Status Quo,Spinning Wheel Blues,24.0,0.748,0.538,-7.715,0,0.0488,0.0172,0.11,0.795,130.45,199267.0,4,2
11619,Dr. Feelgood,Going Back Home,31.0,0.386,0.764,-12.772,1,0.0355,0.0016,0.295,0.706,171.713,240867.0,4,2
11620,Stevie Ray Vaughan,Texas Flood,59.0,0.256,0.423,-11.994,1,0.035,0.000788,0.25,0.441,173.27,320907.0,3,2
11632,Iron Butterfly,Unconscious Power,34.0,0.439,0.561,-9.507,0,0.0345,0.0026,0.319,0.794,162.903,150533.0,4,2
11635,Bukka White,Fixin' To Die Blues,30.0,0.565,0.266,-11.708,1,0.0375,0.897,0.103,0.577,109.976,168733.0,4,2
11745,little hurricane,Sun Sets West,33.0,0.439,0.698,-6.764,1,0.0643,0.171,0.286,0.815,112.726,148800.0,3,2
11751,Derek & The Dominos,Have You Ever Loved A Woman?,57.0,0.303,0.648,-6.795,1,0.0512,0.642,0.407,0.644,170.379,412960.0,3,2
11769,Sonny Boy Nelson,Street Walkin',26.0,0.627,0.161,-16.318,1,0.0728,0.991,0.109,0.773,122.476,153160.0,4,2
11770,Laurie Morvan,Stay with Me,30.0,0.27,0.7,-4.855,0,0.0454,0.182,0.0924,0.619,188.996,269333.0,3,2
11790,Tutu Jones,Starting All Over,30.0,0.744,0.832,-4.268,0,0.0242,0.24,0.653,0.967,94.68,246600.0,4,2
11798,Lightnin' Slim,G.I. Blues,12.0,0.701,0.292,-17.458,0,0.0461,0.978,0.115,0.597,78.9,157431.0,4,2
11828,Smokin' Joe Kubek & Bnois King,"Have Blues, Will Travel",39.0,0.283,0.951,-3.488,0,0.101,0.000844,0.088,0.464,165.969,247373.0,4,2
11829,The Delta Saints,California,43.0,0.585,0.741,-6.954,0,0.0326,0.00381,0.3,0.676,124.678,222653.0,4,2
11831,Roomful Of Blues,Lower On Your List Of Priorities,27.0,0.565,0.928,-4.02,1,0.0544,0.254,0.295,0.91,146.401,200227.0,4,2
11837,Son House,John the Revelator,38.0,0.668,0.0423,-16.374,1,0.369,0.805,0.433,0.564,129.482,149867.0,4,2
11842,Guitar Shorty,We The People,36.0,0.31,0.863,-3.094,1,0.0401,0.167,0.868,0.747,177.546,260200.0,4,2
11843,Los Lobos,Framed,31.0,0.601,0.487,-11.738,1,0.0994,0.285,0.161,0.735,103.571,154133.0,4,2
11858,Jonny Lang,Before You Hit The Ground,41.0,0.724,0.876,-5.854,0,0.0873,0.16,0.116,0.812,92.169,234133.0,4,2
11913,Parker Millsap,Hades Pleads,48.0,0.568,0.632,-6.958,1,0.161,0.0245,0.401,0.711,164.823,156107.0,4,2
11937,Otis Rush,Working Man,52.0,0.633,0.625,-10.951,1,0.0436,0.492,0.204,0.841,103.355,147800.0,4,2
11958,Toby Lee,The Search For Happiness,29.0,0.657,0.601,-6.626,0,0.0319,0.252,0.0817,0.458,133.963,361200.0,4,2
11988,The Cramps,I Can't Hardly Stand It,49.0,0.577,0.916,-7.305,1,0.101,0.445,0.156,0.545,94.731,163133.0,4,2
12020,Albert Collins,Frosty (Live),27.0,0.205,0.917,-6.745,1,0.164,0.00494,0.982,0.493,164.444,350920.0,4,2
12039,Tamikrest,Mawarniha Tartit,41.0,0.661,0.693,-10.965,1,0.0396,0.609,0.136,0.944,155.125,218076.0,4,2
12051,Black Pumas,Colors - Acoustic,49.0,0.619,0.433,-7.47,0,0.0309,0.647,0.319,0.418,171.565,323009.0,4,2
12052,Brittany Howard,13th Century Metal - Michael Kiwanuka Mix,42.0,0.55,0.602,-10.286,1,0.0467,0.689,0.0866,0.681,101.328,302437.0,4,2
12056,Billy F Gibbons,My Lucky Card,39.0,0.527,0.896,-4.552,1,0.0346,0.00772,0.587,0.547,88.064,153760.0,4,2
12095,Imarhan,Tahabort,43.0,0.74,0.702,-6.992,0,0.0455,0.25,0.146,0.629,121.36,210880.0,4,2
12132,Luke Wylde,God Damn,18.0,0.53,0.814,-4.981,0,0.0494,0.0541,0.42,0.285,153.975,163636.0,4,2
12136,Kenny Wayne Shepherd,True Lies,50.0,0.367,0.769,-7.258,1,0.0317,0.00032,0.0631,0.7,173.186,348040.0,4,2
12139,MY BABY,Sunroof Diesel Blues,22.0,0.695,0.636,-9.238,1,0.0401,0.453,0.0851,0.883,104.41,224511.0,4,2
12154,Howlin' Wolf,I Ain't Superstitious,42.0,0.593,0.864,-7.829,1,0.032,0.0607,0.114,0.785,96.361,210827.0,4,2
12158,Junior Wells,She's A Sweet One,50.0,0.705,0.483,-12.209,1,0.0542,0.15,0.202,0.713,122.863,181786.0,4,2
12179,J.B. Lenoir,The Devil Is A Busy Man,24.0,0.468,0.531,-8.337,1,0.579,0.989,0.702,0.633,70.417,287991.0,4,2
12182,Amos Milburn,Thinking And Drinking (01-29-52),32.0,0.765,0.317,-12.264,1,0.0992,0.992,0.183,0.72,110.4,148880.0,4,2
12198,Richie Kotzen,Make It Easy,37.0,0.505,0.908,-4.717,0,0.0561,3.71e-05,0.207,0.494,123.928,204733.0,4,2
12235,Vintage Trouble,Shows What You Know,28.0,0.42,0.444,-6.357,1,0.0508,0.484,0.0949,0.398,83.212,252489.0,3,2
12250,Stevie Ray Vaughan,Life By The Drop,51.0,0.659,0.163,-11.864,0,0.0388,0.766,0.0735,0.473,95.882,147507.0,4,2
12252,Charlie Beale,Stick Em Up,13.0,0.589,0.925,-4.276,1,0.0748,0.00334,0.185,0.646,194.056,236289.0,4,2
12253,ZZ Top,Arrested for Driving While Blind,39.0,0.553,0.672,-10.917,0,0.0438,0.215,0.103,0.582,137.414,186587.0,4,2
12258,The Pretty Things,Midnight To Six Man,27.0,0.529,0.671,-12.812,1,0.0313,0.469,0.493,0.945,126.833,139240.0,4,2
12288,War & Pierce,The Map,31.0,0.722,0.454,-8.61,1,0.0739,0.806,0.0896,0.344,77.98,215705.0,4,2
12302,Chicken Shack,The Way It Is,38.0,0.627,0.282,-10.107,0,0.0263,0.189,0.152,0.413,83.443,264293.0,3,2
12308,Johnny Shines,Travelling Back Home,29.0,0.499,0.132,-17.278,0,0.0403,0.852,0.0621,0.362,89.165,238440.0,4,2
12347,The Derek Trucks Band,Crow Jane,35.0,0.508,0.526,-9.617,1,0.147,0.416,0.113,0.716,143.804,233773.0,4,2
12386,Southern Avenue,Savior,45.0,0.48,0.641,-3.996,0,0.042,0.0694,0.107,0.487,68.184,223490.0,4,2
12392,Mr. Airplane Man,Commit a Crime,25.0,0.428,0.725,-13.572,1,0.0459,0.186,0.108,0.633,153.655,210233.0,4,2
12403,Danny Vera,Pressure Makes Diamonds,38.0,0.376,0.472,-7.54,1,0.0307,0.0417,0.196,0.491,168.666,209775.0,3,2
12419,Aynsley Lister,Soundman,37.0,0.436,0.801,-5.257,0,0.0391,0.000688,0.0782,0.753,128.738,223640.0,4,2
12454,Robert Randolph & The Family Band,Shake It,35.0,0.351,0.964,-3.745,0,0.12,0.000697,0.181,0.496,185.923,239853.0,4,2
12488,Joy Oladokun,Shelter,41.0,0.639,0.463,-7.737,1,0.0336,0.721,0.0789,0.323,94.064,235048.0,4,2
12507,Elmore James,It Hurts Me Too,41.0,0.623,0.623,-8.403,0,0.0392,0.848,0.0572,0.604,89.031,200240.0,3,2
12526,Hayes McMullan,Goin' Away Mama Blues,23.0,0.701,0.205,-13.458,1,0.0582,0.959,0.0716,0.839,101.734,145853.0,4,2
12538,Elles Bailey,Woman Like Me,35.0,0.61,0.574,-8.307,0,0.0349,0.123,0.295,0.554,109.982,244429.0,4,2
12544,International Harvester,It's Only Love,14.0,0.389,0.0801,-22.977,1,0.0373,0.837,0.135,0.125,124.164,100253.0,4,2
12562,The Black Keys,The Lengths,51.0,0.404,0.508,-5.893,0,0.0265,0.952,0.164,0.278,143.911,294933.0,4,2
12578,The Cold Stares,Any Way The Wind Blows,42.0,0.607,0.802,-7.345,1,0.0488,0.000645,0.242,0.636,85.98,181218.0,4,2
12621,The Pretty Things,Get Yourself Home,27.0,0.689,0.715,-9.431,0,0.0732,0.419,0.239,0.731,103.182,136905.0,4,2
12630,The Peanut Butter Conspiracy,Too Many Do,22.0,0.436,0.482,-14.546,1,0.0385,0.0658,0.177,0.501,119.249,392440.0,4,2
12634,Blind Willie McTell,I Got the Cross the River Jordan,38.0,0.538,0.177,-14.158,1,0.0447,0.91,0.0927,0.415,77.396,240360.0,4,2
12638,Richie Kotzen,Stand Tall,36.0,0.606,0.679,-6.091,0,0.0684,0.075,0.677,0.964,183.8,238667.0,4,2
12639,R.L. Burnside,Shake 'Em on Down,29.0,0.25,0.804,-6.873,1,0.0723,0.0963,0.531,0.729,174.232,350947.0,4,2
12645,Hamish Anderson,Morning Light,28.0,0.486,0.75,-6.235,0,0.0492,0.0217,0.361,0.872,202.334,203653.0,4,2
12652,The Vaughan Brothers,Telephone Song,41.0,0.722,0.785,-12.155,1,0.0677,0.0659,0.315,0.843,118.035,208240.0,4,2
12666,Curtis Salgado,The Longer That I Live,35.0,0.757,0.86,-4.648,1,0.0438,0.47,0.0941,0.923,128.095,231244.0,4,2
12691,Miles Davis,"All Blues (feat. John Coltrane, Cannonball Adderley & Bill Evans)",51.0,0.499,0.149,-18.305,1,0.0314,0.771,0.115,0.363,139.815,692747.0,3,2
12693,Chris Smither,What They Say,40.0,0.566,0.57,-6.42,1,0.0329,0.688,0.0943,0.96,83.403,166240.0,4,2
12697,Tami Neilson,You Were Mine,45.0,0.374,0.542,-8.136,0,0.0552,0.699,0.102,0.419,183.745,223577.0,3,2
12719,Status Quo,Rockin' All Over The World,64.0,0.632,0.933,-7.874,1,0.0326,0.236,0.604,0.968,131.487,215333.0,4,2
12722,"Speed, Glue & Shinki",Big Headed Woman,16.0,0.4,0.45,-11.342,1,0.0597,0.0619,0.109,0.514,139.294,375800.0,3,2
12723,William Elliott Whitmore,Johnny law,41.0,0.687,0.322,-13.015,1,0.06,0.962,0.0818,0.312,107.753,269907.0,4,2
12747,John The Conqueror,All Alone,28.0,0.582,0.469,-9.062,1,0.0266,0.387,0.0809,0.617,140.191,229720.0,4,2
12772,W.C. Clark,Stronger Than You Need To Be,14.0,0.687,0.718,-3.796,1,0.0289,0.251,0.202,0.777,111.142,245600.0,4,2
12778,Los Lobos,Chains Of Love,17.0,0.464,0.528,-8.528,1,0.0347,0.00119,0.117,0.518,186.71,313627.0,3,2
12811,Lightnin' Hopkins,Hello Central (Give Me Central),41.0,0.641,0.35,-12.653,1,0.0308,0.953,0.127,0.351,69.537,178172.0,4,2
12819,Juanse,Foxtrot,47.0,0.693,0.496,-11.323,1,0.0455,0.0763,0.157,0.554,121.618,202571.0,4,2
12848,Great Peacock,Let You Go,32.0,0.616,0.616,-8.662,1,0.0282,0.00104,0.178,0.598,117.997,286891.0,4,2
12868,The Swallows,It Ain't The Meat,31.0,0.67,0.357,-10.512,1,0.0657,0.861,0.0828,0.834,149.257,156653.0,4,2
12871,Eddie Boyd,Lovesick Soul,28.0,0.608,0.565,-7.807,1,0.0411,0.684,0.145,0.775,87.583,236733.0,4,2
12895,Dani Wilde,Bumble Bee (Live),44.0,0.471,0.244,-9.023,0,0.063,0.814,0.116,0.444,75.727,220227.0,4,2
12906,Mike Bloomfield,Albert's Shuffle,49.0,0.303,0.492,-10.716,1,0.039,0.197,0.288,0.677,200.018,414960.0,3,2
12927,Vintage Trouble,You Better Believe It,25.0,0.659,0.782,-6.135,1,0.0278,0.0136,0.105,0.879,117.14,250227.0,4,2
12931,Dharmasoul,Love Again,34.0,0.635,0.405,-8.682,1,0.0407,0.572,0.444,0.525,137.67,223835.0,4,2
12943,Southern Avenue,Switchup,22.0,0.799,0.917,-3.235,0,0.136,0.143,0.331,0.728,104.1,147904.0,4,2
12964,Philip Sayce,Fits Me Good,29.0,0.523,0.963,-4.594,1,0.0713,0.000434,0.416,0.489,128.007,171646.0,4,2
12965,Muddy Waters,Good Morning Little School Girl,48.0,0.626,0.307,-14.645,1,0.0836,0.689,0.0843,0.62,173.652,196040.0,4,2
12971,Lionel Hampton,Rag Mop - Single Version,40.0,0.715,0.341,-11.612,1,0.0439,0.371,0.123,0.889,94.602,169493.0,4,2
12972,The Record Company,Off The Ground,56.0,0.543,0.696,-4.572,1,0.0426,0.601,0.384,0.849,92.15,253747.0,4,2
12977,Alastair Greene,The Sweetest Honey (Live),34.0,0.216,0.954,-5.659,1,0.146,0.000283,0.953,0.483,138.647,227253.0,4,2
13003,Manfred Mann,I Put A Spell On You,31.0,0.302,0.51,-10.496,0,0.0373,0.164,0.119,0.497,182.091,215453.0,3,2
13013,Boubacar Traoré,Hona,40.0,0.429,0.455,-10.092,0,0.0369,0.587,0.118,0.597,183.624,338747.0,4,2
13021,Pappo's Blues,Ruta 66,50.0,0.606,0.973,-3.371,1,0.0834,0.255,0.0858,0.813,153.99,186907.0,4,2
13075,Jackie Payne Steve Edmonson Band,The Real Deal,8.0,0.561,0.715,-5.918,0,0.146,0.437,0.0896,0.801,116.995,208747.0,4,2
13082,Kenny Wayne Shepherd,Diamonds & Gold - Live,33.0,0.342,0.828,-6.802,1,0.0327,0.00383,0.77,0.681,93.139,387347.0,4,2
13101,Cedric Burnside,The Other Side (feat. J.R. & the Allnighters),29.0,0.739,0.219,-13.652,0,0.122,0.945,0.112,0.49,143.695,192348.0,4,2
13117,Tony Spinner,Walkin' The Dawg,40.0,0.626,0.923,-4.448,1,0.0474,0.0132,0.0331,0.845,87.377,224640.0,4,2
13146,The Cadets,I Want You,34.0,0.733,0.451,-8.006,1,0.127,0.698,0.139,0.917,154.443,169250.0,4,2
13158,Martin Harley,Roll With the Punches,24.0,0.629,0.466,-9.969,1,0.0397,0.446,0.258,0.91,124.88,191880.0,4,2
13159,Scarecrow Blues Hip Hop,Code Name Loppsi - My Lowd demo,24.0,0.653,0.711,-8.126,0,0.402,0.143,0.0961,0.762,92.537,253000.0,4,2
13166,Luke Jordan,Church Bells Blues,14.0,0.729,0.0564,-19.28,0,0.0595,0.996,0.113,0.547,130.184,196653.0,4,2
13179,Red Garland,Back Slidin',31.0,0.572,0.183,-19.793,0,0.047,0.884,0.127,0.336,119.079,414667.0,4,2
13213,Richie Kotzen,Venom,42.0,0.471,0.886,-3.627,1,0.0496,0.00261,0.124,0.473,100.025,236719.0,4,2
13258,John Lee Hooker,Let's Make It,33.0,0.441,0.598,-12.105,0,0.14,0.675,0.188,0.904,164.848,246493.0,4,2
13287,Amythyst Kiah,Black Myself,53.0,0.553,0.828,-4.091,1,0.0609,0.11,0.2,0.902,152.638,201194.0,4,2
13292,Dumpstaphunk,In Time,38.0,0.698,0.763,-5.09,0,0.131,0.00224,0.0856,0.672,91.986,422813.0,4,2
13305,Elles Bailey,Medicine Man,47.0,0.644,0.433,-7.568,1,0.0346,0.742,0.129,0.611,85.799,206003.0,4,2
